nyt_name,slug,state_id
Daniel David Rostenkowski,daniel-david-rostenkowski,IL
Toby A. Roth,toby-a-roth,WI
William V. Roth Jr.,william-v-roth-jr,DE
Marge Roukema,marge-roukema,NJ
John Edward Roush,john-edward-roush,IN
John Harbin Rousselot,john-harbin-rousselot,CA
James Roy Rowland,james-roy-rowland,GA
John Rowland,john-rowland,CT
William Robert Roy,william-robert-roy,KS
Edward Ross Roybal,edward-ross-roybal,CA
William Howard Royer,william-howard-royer,CA
Eldon Dean Rudd,eldon-dean-rudd,AZ
Warren Bruce Rudman,warren-bruce-rudman,NH
Harold Lowell Runnels,harold-lowell-runnels,NM
Philip Edward Ruppe,philip-edward-ruppe,MI
Charles Hinton Russell,charles-hinton-russell,NV
Donald Stuart Russell,donald-stuart-russell,SC
Richard Brevard Russell,richard-brevard-russell,GA
Martin Anthony Russo,martin-anthony-russo,IL
Earl Baker Ruth,earl-baker-ruth,NC
J. T. Rutherford,j-t-rutherford,TX
Elmer James Ryan,elmer-james-ryan,MN
Harold Martin Ryan,harold-martin-ryan,MI
Leo Joseph Ryan,leo-joseph-ryan,CA
William Fitts Ryan,william-fitts-ryan,NY
Joseph Francis Ryter,joseph-francis-ryter,CT
Jim R. Ryun,jim-r-ryun,KS
Bill Redmond,bill-redmond,NM
Rick Renzi,rick-renzi,AZ
Martin Olav Sabo,martin-olav-sabo,MN
Leon Sacks,leon-sacks,PA
Antoni Nicholas Sadlak,antoni-nicholas-sadlak,CT
George Gregory Sadowski,george-gregory-sadowski,MI
Patricia Saiki,patricia-saiki,HI
Pierre Emil George Salinger,pierre-emil-george-salinger,CA
Matt Salmon,matt-salmon,AZ
Leverett Saltonstall,leverett-saltonstall,MA
Max A. Sandlin,max-a-sandlin,TX
Charles William Sandman,charles-william-sandman,NJ
Terry Sanford,terry-sanford,NC
George Edward Sangmeister,george-edward-sangmeister,IL
Alfred Edward Santangelo,alfred-edward-santangelo,NY
James David Santini,james-david-santini,NV
Ronald Arthur Sarasin,ronald-arthur-sarasin,CT
George William Sarbacher,george-william-sarbacher,PA
Paul S. Sarbanes,paul-s-sarbanes,MD
William Sarpalius,william-sarpalius,TX
Jim Sasser,jim-sasser,TN
David Edward Satterfield,david-edward-satterfield,VA
Gus Savage,gus-savage,IL
Harold Samuel Sawyer,harold-samuel-sawyer,MI
Tom Sawyer,tom-sawyer,OH
William Bart Saxbe,william-bart-saxbe,OH
H. James Saxton,h-james-saxton,NJ
John Phillips Saylor,john-phillips-saylor,PA
Joe Scarborough,joe-scarborough,FL
Henry Carl Schadeberg,henry-carl-schadeberg,WI
Dan Schaefer,dan-schaefer,CO
Bob Schaffer,bob-schaffer,CO
Lynn Schenk,lynn-schenk,CA
Gordon Harry Scherer,gordon-harry-scherer,OH
William Joseph Scherle,william-joseph-scherle,IA
James Haas Scheuer,james-haas-scheuer,NY
Steven Schiff,steven-schiff,NM
John Richard Schmidhauser,john-richard-schmidhauser,IA
Harrison Hagan Schmitt,harrison-hagan-schmitt,NM
John George Schmitz,john-george-schmitz,CA
Herman Theodore Schneebeli,herman-theodore-schneebeli,PA
Claudine Schneider,claudine-schneider,RI
Andrew Frank Schoeppel,andrew-frank-schoeppel,KS
Bill Schuette,bill-schuette,MI
Richard Taylor Schulze,richard-taylor-schulze,PA
Max Schwabe,max-schwabe,MO
Richard Schultz Schweiker,richard-schultz-schweiker,PA
James Paul Scoblick,james-paul-scoblick,PA
Byron Nicholson Scott,byron-nicholson-scott,CA
Hardie Scott,hardie-scott,PA
Hugh Doggett Scott,hugh-doggett-scott,PA
Ralph James Scott,ralph-james-scott,NC
William Kerr Scott,william-kerr-scott,NC
William Lawrence Scott,william-lawrence-scott,PA
William Lloyd Scott,william-lloyd-scott,VA
William Warren Scranton,william-warren-scranton,PA
Andrea Seastrand,andrea-seastrand,CA
Frederick Andrew Seaton,frederick-andrew-seaton,NE
Keith George Sebelius,keith-george-sebelius,KS
Horace Seely-Brown,horace-seely-brown,CT
John Frederick Seiberling,john-frederick-seiberling,OH
Armistead Inge Selden,armistead-inge-selden,AL
George Frederick Senner,george-frederick-senner,AZ
John Seymour,john-seymour,CA
Robert Norton Shamansky,robert-norton-shamansky,OH
James Michael Shannon,james-michael-shannon,MA
Philip Riley Sharp,philip-riley-sharp,IN
E. Clay Shaw,e-clay-shaw,FL
Timothy Patrick Sheehan,timothy-patrick-sheehan,IL
John Francis Shelley,john-francis-shelley,CA
Karen Shepherd,karen-shepherd,UT
John Edward Sheridan,john-edward-sheridan,PA
George Edward Shipley,george-edward-shipley,IL
Don Levingston Short,don-levingston-short,ND
Richard Gardner Shoup,richard-gardner-shoup,MT
Garner E. Shriver,garner-e-shriver,KS
Norman David Shumway,norman-david-shumway,CA
Bud Shuster,bud-shuster,PA
Abner Woodruff Sibal,abner-woodruff-sibal,CT
Carlton Ralph Sickles,carlton-ralph-sickles,MD
Alfred Dennis Sieminski,alfred-dennis-sieminski,NJ
Robert Lee Fulton Sikes,robert-lee-fulton-sikes,FL
Gerald Edward Sikorski,gerald-edward-sikorski,MN
Eugene Siler,eugene-siler,KY
Mark Deli Siljander,mark-deli-siljander,MI
Alan Kooi Simpson,alan-kooi-simpson,WY
James Simpson,james-simpson,IL
Milward Lee Simpson,milward-lee-simpson,WY
Richard Murray Simpson,richard-murray-simpson,PA
Hugo Sheridan Sims,hugo-sheridan-sims,SC
Norman Sisisky,norman-sisisky,VA
Bernice Frederic Sisk,bernice-frederic-sisk,CA
Edward Lewis Sittler,edward-lewis-sittler,PA
David E. Skaggs,david-e-skaggs,CO
Joe Skeen,joe-skeen,NM
Joe Skubitz,joe-skubitz,KS
John Mark Slack,john-mark-slack,WV
James Charles Slattery,james-charles-slattery,KS
Daniel French Slaughter,daniel-french-slaughter,VA
Roger Caldwell Slaughter,roger-caldwell-slaughter,MO
George Armistead Smathers,george-armistead-smathers,FL
Albert Lee Smith,albert-lee-smith,AL
Benjamin A. Smith,benjamin-a-smith,MA
Dennis Alan Smith,dennis-alan-smith,OR
Francis Raphael Smith,francis-raphael-smith,PA
Frank Ellis Smith,frank-ellis-smith,MS
H. Allen Smith,h-allen-smith,CA
Henry P. Smith,henry-p-smith,NY
Howard Alexander Smith,howard-alexander-smith,NJ
James Vernon Smith,james-vernon-smith,OK
John Joseph Smith,john-joseph-smith,CT
Joseph Francis Smith,joseph-francis-smith,PA
Larkin I. Smith,larkin-i-smith,MS
Lawrence Jack Smith,lawrence-jack-smith,FL
Linda Smith,linda-smith,WA
Margaret Chase Smith,margaret-chase-smith,ME
Neal Edward Smith,neal-edward-smith,IA
Nick Smith,nick-smith,MI
Peter P. Smith,peter-p-smith,VT
Ralph Tyler Smith,ralph-tyler-smith,IL
Robert F. Smith,robert-f-smith,OR
Virginia Dodd Smith,virginia-dodd-smith,NE
Willis Smith,willis-smith,NC
Vince Snowbarger,vince-snowbarger,KS
Marion Gene Snyder,marion-gene-snyder,KY
Gerald B.H. Solomon,gerald-bh-solomon,NY
John Jackson Sparkman,john-jackson-sparkman,AL
Floyd Spence,floyd-spence,SC
William Belser Spong,william-belser-spong,VA
William Lee Springer,william-lee-springer,IL
Fernand Joseph St. Germain,fernand-joseph-st-germain,RI
William Leon St. Onge,william-leon-st-onge,CT
Edward John Stack,edward-john-stack,FL
Neil Oliver Staebler,neil-oliver-staebler,MI
Robert Theodore Stafford,robert-theodore-stafford,VT
Harley Orrin Staggers,harley-orrin-staggers,WV
Harley Orrin Staggers,harley-orrin-staggers-1,WV
Richard Stallings,richard-stallings,ID
Arlan Ingehart Stangeland,arlan-ingehart-stangeland,MN
Winifred Claire Stanley,winifred-claire-stanley,NY
James Vincent Stanton,james-vincent-stanton,OH
John William Stanton,john-william-stanton,OH
David Michael Staton,david-michael-staton,WV
Robert Hampton Steele,robert-hampton-steele,CT
Alan Watson Steelman,alan-watson-steelman,TX
Newton Ivan Steers,newton-ivan-steers,MD
Sam Steiger,sam-steiger,AZ
William Albert Steiger,william-albert-steiger,WI
Charles W. Stenholm,charles-w-stenholm,TX
John Cornelius Stennis,john-cornelius-stennis,MS
Robert Grier Stephens,robert-grier-stephens,GA
Adlai E. Stevenson III,adlai-stevenson-iii,IL
Arthur Thomas Stewart,arthur-thomas-stewart,TN
Bennett McVey Stewart,bennett-mcvey-stewart,IL
Donald Wilbur Stewart,donald-wilbur-stewart,AL
K. William Stinson,k-william-stinson,WA
David Alan Stockman,david-alan-stockman,MI
Steve Stockman ,steve-stockman,TX
Louis Stokes,louis-stokes,OH
Richard Bernard Stone,richard-bernard-stone,FL
Michael Lathrop Strang,michael-lathrop-strang,CO
Samuel Studdiford Stratton,samuel-studdiford-stratton,NY
William Grant Stratton,william-grant-stratton,IL
Ted Strickland,ted-strickland-1,OH
Douglas R. Stringfellow,douglas-r-stringfellow,UT
Frank Albert Stubblefield,frank-albert-stubblefield,KY
Williamson Sylvester Stuckey,williamson-sylvester-stuckey,GA
Gerry Eastman Studds,gerry-eastman-studds,MA
Bob Stump,bob-stump,AZ
Donald Kenneth Sundquist,donald-kenneth-sundquist,TN
Frank Leander Sundstrom,frank-leander-sundstrom,NJ
David McCann Sweeney,david-mccann-sweeney,TX
Robert E. Sweeney,robert-e-sweeney,OH
Richard Swett,richard-swett,NH
Allan Byron Swift,allan-byron-swift,WA
Patrick Lynn Swindall,patrick-lynn-swindall,GA
James Wadsworth Symington,james-wadsworth-symington,MO
William Stuart Symington,william-stuart-symington,MO
Steven Douglas Symms,steven-douglas-symms,ID
Michael Lynn Synar,michael-lynn-synar,OK
Donald L. Sherwood,donald-l-sherwood,PA
Ronnie Shows,ronnie-shows,MS
John E. Sweeney,john-e-sweeney,NY
Edward L. Schrock,edward-l-schrock,VA
Robert Ruhl Simmons,robert-ruhl-simmons,CT
Michael E. Sodrel,michael-e-sodrel,IN
John J.H. Schwarz,john-jh-schwarz,MI
Bill Sali,bill-sali,ID
Boyd Anderson Tackett,boyd-anderson-tackett,AR
Kingsley Arter Taft,kingsley-arter-taft,OH
Robert Alphonso Taft,robert-alphonso-taft,OH
Joseph Edward Talbot,joseph-edward-talbot,CT
Burt Lacklen Talcott,burt-lacklen-talcott,CA
James M. Talent,james-m-talent,MO
Robert Mooneyhan Tallon,robert-mooneyhan-tallon,SC
Herman Eugene Talmadge,herman-eugene-talmadge,GA
Randy J. Tate,randy-j-tate,WA
Tom Tauke,tom-tauke,IA
William J. Tauzin,william-j-tauzin,LA
Charles H. Taylor,charles-h-taylor,NC
Dean Park Taylor,dean-park-taylor,NY
Gene Taylor,gene-taylor-1,MO
Glen Hearst Taylor,glen-hearst-taylor,ID
Roy Arthur Taylor,roy-arthur-taylor,NC
Charles McKevett Teague,charles-mckevett-teague,CA
Olin Earl Teague,olin-earl-teague,TX
Frank Tejeda,frank-tejeda,TX
Ludwig Teller,ludwig-teller,NY
Herbert Tenzer,herbert-tenzer,NY
John Hart Terry,john-hart-terry,NY
Donald Edgar Tewes,donald-edgar-tewes,WI
Lewis Dominic Thill,lewis-dominic-thill,WI
Craig Thomas,craig-thomas,WY
Elbert Duncan Thomas,elbert-duncan-thomas,UT
Elmer Thomas,elmer-thomas,OK
Robert Lindsay Thomas,robert-lindsay-thomas,GA
William M. Thomas,william-m-thomas,CA
Frank Thompson,frank-thompson,NJ
Standish Fletcher Thompson,standish-fletcher-thompson,GA
Theo Ashton Thompson,theo-ashton-thompson,LA
Edwin Keith Thomson,edwin-keith-thomson,WY
Vernon Wallace Thomson,vernon-wallace-thomson,WI
Charles Thone,charles-thone,NE
Raymond Hoyt Thornton,raymond-hoyt-thornton,AR
Karen L. Thurman,karen-l-thurman,FL
Strom Thurmond,strom-thurmond,SC
Edward John Thye,edward-john-thye,MN
Robert Owens Tiernan,robert-owens-tiernan,RI
Charles William Tobey,charles-william-tobey,NH
Paul Harold Todd,paul-harold-todd,MI
Herman Toll,herman-toll,PA
Thor Carl Tollefson,thor-carl-tollefson,WA
Richard Alvin Tonry,richard-alvin-tonry,LA
Peter Gerard Torkildsen,peter-gerard-torkildsen,MA
Esteban Edward Torres,esteban-edward-torres,CA
Robert G. Torricelli,robert-g-torricelli,NJ
David Gilmer Towell,david-gilmer-towell,NV
John Goodwin Tower,john-goodwin-tower,TX
Andrew Jackson Transue,andrew-jackson-transue,MI
Jerome Bob Traxler,jerome-bob-traxler,MI
David Conner Treen,david-conner-treen,LA
Paul Seward Trible,paul-seward-trible,VA
William Irvin Troutman,william-irvin-troutman,PA
Paul Efthemios Tsongas,paul-efthemios-tsongas,MA
James (Jim) Guy Tucker,james-jim-guy-tucker,AR
Walter R. Tucker III,walter-r-tucker-iii,CA
Thomas James Tumulty,thomas-james-tumulty,NJ
John Varick Tunney,john-varick-tunney,CA
Stanley Roger Tupper,stanley-roger-tupper,ME
James Turner,james-turner,TX
Joseph Davies Tydings,joseph-davies-tydings,MD
Millard Evelyn Tydings,millard-evelyn-tydings,MD
Stewart Lee Udall,stewart-lee-udall,AZ
Albert Conrad Ullman,albert-conrad-ullman,OR
William Bradley Umstead,william-bradley-umstead,NC
Thomas Rust Underwood,thomas-rust-underwood,KY
Jolene Unsoeld,jolene-unsoeld,WA
Robert William Upton,robert-william-upton,NH
Tim Valentine,tim-valentine,NC
Lionel Van Deerlin,lionel-van-deerlin,CA
Arthur Hendrick Vandenberg,arthur-hendrick-vandenberg,MI
Tommy (Tom) Joe Vandergriff,tommy-tom-joe-vandergriff,TX
Guy Adrian Vander Jagt,guy-adrian-vander-jagt,MI
Richard Franklin Vander Veen,richard-franklin-vander-veen,MI
Charles Albert Vanik,charles-albert-vanik,OH
William Kaiser Van Pelt,william-kaiser-van-pelt,WI
Bruce F. Vento,bruce-f-vento,MN
Victor Vincent Veysey,victor-vincent-veysey,CA
Joseph Phillip Vigorito,joseph-phillip-vigorito,PA
Weston Edward Vivian,weston-edward-vivian,MI
Harold Lee Volkmer,harold-lee-volkmer,MO
Horace Jeremiah Voorhis,horace-jeremiah-voorhis,CA
Albert Lincoln Vreeland,albert-lincoln-vreeland,NJ
Barbara Farrell Vucanovich,barbara-farrell-vucanovich,NV
Joseph David Waggonner,joseph-david-waggonner,LA
Earl Thomas Wagner,earl-thomas-wagner,OH
Robert Ferdinand Wagner,robert-ferdinand-wagner,NY
Stuyvesant II Wainwright,stuyvesant-ii-wainwright,NY
Jerome Russell Waldie,jerome-russell-waldie,CA
Alton R. Waldon,alton-r-waldon,NY
Douglas Walgren,douglas-walgren,PA
E. S. Johnny Walker,e-s-johnny-walker,NM
Prentiss Lafayette Walker,prentiss-lafayette-walker,MS
Robert Smith Walker,robert-smith-walker,PA
George Marvin Wallhauser,george-marvin-wallhauser,NJ
Malcolm Wallop,malcolm-wallop,WY
James T. Walsh,james-t-walsh,NY
John Richard Walsh,john-richard-walsh,IN
William Francis Walsh,william-francis-walsh,NY
Herbert Sanford Walters,herbert-sanford-walters,TN
William Creed Wampler,william-creed-wampler,VA
Herbert Birchby Warburton,herbert-birchby-warburton,DE
Michael Delavan Ward,michael-delavan-ward,KY
John Haines Ware,john-haines-ware,PA
John W. Warner,john-w-warner,VA
Craig Anthony Washington,craig-anthony-washington,TX
Harold Washington,harold-washington,IL
Thaddeus Francis Boleslaw Wasielewski,thaddeus-francis-boleslaw-wasielewski,WI
Arthur Vivian Watkins,arthur-vivian-watkins,UT
George Robert Watkins,george-robert-watkins,PA
Wes Watkins,wes-watkins,OK
Albert William Watson,albert-william-watson,SC
J.C. Watts,jc-watts,OK
John Clarence Watts,john-clarence-watts,KY
James Dorman Weaver,james-dorman-weaver,PA
James Howard Weaver,james-howard-weaver,OR
Phillip Hart Weaver,phillip-hart-weaver,NE
Edward Ford Weber,edward-ford-weber,OH
John Vincent Weber,john-vincent-weber,MN
Samuel Arthur Weiss,samuel-arthur-weiss,PA
Theodore S. Weiss,theodore-s-weiss,NY
David J. Weldon,david-j-weldon,FL
W. Curtis Weldon,w-curtis-weldon,PA
Herman Welker,herman-welker,ID
Paul D. Wellstone,paul-d-wellstone,MN
Charles Longstreet Weltner,charles-longstreet-weltner,GA
Thomas Harold Werdel,thomas-harold-werdel,CA
Alfred John Westland,alfred-john-westland,WA
Robert A. Weygand,robert-a-weygand,RI
Charles William Whalen,charles-william-whalen,OH
John Irving Whalley,john-irving-whalley,PA
Alan Wheat,alan-wheat,MO
William McDonald Wheeler,william-mcdonald-wheeler,GA
Kenneth Spicer Wherry,kenneth-spicer-wherry,NE
John Albert Whitaker,john-albert-whitaker,KY
Cecil Fielding White,cecil-fielding-white,CA
Compton Ignatius White,compton-ignatius-white,ID
Dudley Allen White,dudley-allen-white,OH
Richard Crawford White,richard-crawford-white,TX
Rick White,rick-white,WA
Wallace Humphrey White,wallace-humphrey-white,ME
George William Whitehurst,george-william-whitehurst,VA
Basil Lee Whitener,basil-lee-whitener,NC
Charles Orville Whitley,charles-orville-whitley,NC
Robert Russell Whittaker,robert-russell-whittaker,KS
Jamie Lloyd Whitten,jamie-lloyd-whitten,MS
William Beck Widnall,william-beck-widnall,NJ
Charles Edward Wiggins,charles-edward-wiggins,CA
Alexander Wiley,alexander-wiley,WI
Harrison Arlington Williams,harrison-arlington-williams,NJ
John Bell Williams,john-bell-williams,MS
John James Williams,john-james-williams,DE
John Patrick Williams,john-patrick-williams,MT
Lawrence Gordon Williams,lawrence-gordon-williams,PA
Lyle Williams,lyle-williams,OH
Edwin Edward Willis,edwin-edward-willis,LA
Charles Wilson,charles-wilson,TX
Charles Herbert Wilson,charles-herbert-wilson,CA
George Allison Wilson,george-allison-wilson,IA
George Howard Wilson,george-howard-wilson,OK
Joseph Franklin Wilson,joseph-franklin-wilson,TX
Robert Carlton Wilson,robert-carlton-wilson,CA
Edward Lawrence Winn,edward-lawrence-winn,KS
William Arthur Winstead,william-arthur-winstead,MS
Timothy E. Wirth,timothy-e-wirth,CO
Robert E. Wise Jr.,robert-e-wise-jr,WV
Garrett Lee Withers,garrett-lee-withers,KY
Harris Wofford,harris-wofford,PA
Thomas Albert Wofford,thomas-albert-wofford,SC
John Schiller Wold,john-schiller-wold,WY
Lester Lionel Wolff,lester-lionel-wolff,NY
Howard Eliot Wolpe,howard-eliot-wolpe,MI
George Cornelius Wortley,george-cornelius-wortley,NY
James Assion Wright,james-assion-wright,PA
James Claude Wright,james-claude-wright,TX
Joseph Peyton Wyatt,joseph-peyton-wyatt,TX
Wendell Wyatt,wendell-wyatt,OR
John Waldemar Wydler,john-waldemar-wydler,NY
Chalmers Pangburn Wylie,chalmers-pangburn-wylie,OH
Louis Crosby Wyman,louis-crosby-wyman,NH
Albert Russell Wynn,albert-russell-wynn,MD
Heather A. Wilson,heather-a-wilson,NM
Enid Greene Waldholtz,enid-greene-waldholtz,UT
Ralph Webster Yarborough,ralph-webster-yarborough,TX
Sidney R. Yates,sidney-r-yates,IL
Gus Yatron,gus-yatron,PA
Samuel William Yorty,samuel-william-yorty,CA
Andrew Jackson Young,andrew-jackson-young,GA
Clarence Clifton Young,clarence-clifton-young,NV
Edward Lunn Young,edward-lunn-young,SC
John Andrew Young,john-andrew-young,TX
Milton Ruben Young,milton-ruben-young,ND
Robert Anton Young,robert-anton-young,MO
Samuel Hollingsworth Young,samuel-hollingsworth-young,IL
Stephen Marvin Young,stephen-marvin-young,OH
Harold Francis Youngblood,harold-francis-youngblood,MI
Clement John Zablocki,clement-john-zablocki,WI
Leo C. Zeferetti,leo-c-zeferetti,NY
Herbert Zelenko,herbert-zelenko,NY
William H. Zeliff,william-h-zeliff,NH
Richard Zimmer,richard-zimmer,NJ
Roger Herschel Zion,roger-herschel-zion,IN
Marion Anthony Zioncheck,marion-anthony-zioncheck,WA
Edward Zorinsky,edward-zorinsky,NE
Edwin Van Wyck Zschau,edwin-van-wyck-zschau,CA
John Matthew Zwach,john-matthew-zwach,MN
John P. Lennane,john-p-lennane,CA
Roger Milliken,roger-milliken,SC
R. Sargent Shriver,r-sargent-shriver,MD
Shirley Chisholm,shirley-chisholm,NY
Robert D. Ray,robert-ray,IA
Spiro T. Agnew,spiro-t-agnew,MD
Robert P. Casey,robert-p-casey,PA
Amos Abbott,amos-abbott,MA
Jo Abbott,jo-abbott,TX
Joseph Carter Abbott,joseph-carter-abbott,NC
Nehemiah Abbott,nehemiah-abbott,ME
James Abercrombie,james-abercrombie,AL
John William Abercrombie,john-william-abercrombie,AL
John Adams,john-adams-1,NY
Sherman Adams,sherman-adams,NH
Silas Adams,silas-adams,KY
Stephen Adams,stephen-adams,MS
Wilbur Louis Adams,wilbur-louis-adams,DE
Adam Rankin Alexander,adam-rankin-alexander,TN
Armstead Milton Alexander,armstead-milton-alexander,MO
Henry Porteous Alexander,henry-porteous-alexander,NY
Hugh Quincy Alexander,hugh-quincy-alexander,NC
James Alexander,james-alexander,OH
John Alexander,john-alexander-1,OH
John Grant Alexander,john-grant-alexander,MN
Joshua Willis Alexander,joshua-willis-alexander,MO
Nathaniel Alexander,nathaniel-alexander,NC
Sydenham Benoni Alexander,sydenham-benoni-alexander,NC
Charles Allen,charles-allen-1,MA
Elisha Hunt Allen,elisha-hunt-allen,ME
Heman Allen,heman-allen,VT
Heman Allen,heman-allen-1,VT
James Cameron Allen,james-cameron-allen,IL
John Allen,john-allen,CT
John Clayton Allen,john-clayton-allen,IL
John James Allen,john-james-allen,VA
John Joseph Allen,john-joseph-allen,CA
John William Allen,john-william-allen,OH
Joseph Allen,joseph-allen-1,MA
Judson Allen,judson-allen,NY
Nathaniel Allen,nathaniel-allen,NY
Robert Allen,robert-allen-1,TN
Robert Allen,robert-allen-2,VA
Robert Edward Lee Allen,robert-edward-lee-allen,WV
William Allen,william-allen,OH
William Allen,william-allen-1,OH
Willis Allen,willis-allen,IL
William Jeffreys Alston,william-jeffreys-alston,AL
Lucien Anderson,lucien-anderson,KY
Orland Kay Armstrong,orland-kay-armstrong,MO
Richard Clough Anderson,richard-clough-anderson,KY
Samuel Anderson,samuel-anderson,PA
Simeon H. Anderson,simeon-h-anderson,KY
Sydney Anderson,sydney-anderson,MN
Thomas Lilbourne Anderson,thomas-lilbourne-anderson,MO
William Anderson,william-anderson,PA
William Black Anderson,william-black-anderson,IL
William Clayton Anderson,william-clayton-anderson,KY
William Coleman Anderson,william-coleman-anderson,TN
August Herman Andresen,august-herman-andresen,MN
Abram Piatt Andrew,abram-piatt-andrew,MA
John Forrester Andrew,john-forrester-andrew,MA
Charles Andrews,charles-andrews,ME
Charles Oscar Andrews,charles-oscar-andrews,FL
George Rex Andrews,george-rex-andrews,NY
John Tuttle Andrews,john-tuttle-andrews,NY
Landaff Watson Andrews,landaff-watson-andrews,KY
Samuel George Andrews,samuel-george-andrews,NY
Sherlock James Andrews,sherlock-james-andrews,OH
Walter Gresham Andrews,walter-gresham-andrews,NY
William Ezekiel Andrews,william-ezekiel-andrews,NE
William Henry Andrews,william-henry-andrews,NM
William Noble Andrews,william-noble-andrews,MD
John Archer,john-archer,MD
Stevenson Archer,stevenson-archer,MD
Stevenson Archer,stevenson-archer-1,MD
William Segar Archer,william-segar-archer,VA
David Hartley Armstrong,david-hartley-armstrong,MO
James Armstrong,james-armstrong-1,PA
John Armstrong,john-armstrong,NY
William Armstrong,william-armstrong,VA
William Hepburn Armstrong,william-hepburn-armstrong,PA
Benedict Arnold,benedict-arnold,NY
Isaac Newton Arnold,isaac-newton-arnold,IL
Laurence Fletcher Arnold,laurence-fletcher-arnold,IL
Lemuel Hastings Arnold,lemuel-hastings-arnold,RI
Marshall Arnold,marshall-arnold,MO
Samuel Arnold,samuel-arnold,CT
Samuel Greene Arnold,samuel-greene-arnold,RI
Samuel Washington Arnold,samuel-washington-arnold,MO
Thomas Dickens Arnold,thomas-dickens-arnold,TN
Warren Otis Arnold,warren-otis-arnold,RI
William Carlile Arnold,william-carlile-arnold,PA
William Wright Arnold,william-wright-arnold,IL
William Evans Arthur,william-evans-arthur,KY
Michael Woolston Ash,michael-woolston-ash,PA
William Albert Ashbrook,william-albert-ashbrook,OH
John Baptista Ashe,john-baptista-ashe,TN
Thomas Samuel Ashe,thomas-samuel-ashe,NC
William Shepperd Ashe,william-shepperd-ashe,NC
Chester Ashley,chester-ashley,AR
Delos Rodeyn Ashley,delos-rodeyn-ashley,NV
Henry Ashley,henry-ashley,NY
James Mitchell Ashley,james-mitchell-ashley,OH
William Henry Ashley,william-henry-ashley,MO
David Rice Atchison,david-rice-atchison,MO
Charles Gordon Atherton,charles-gordon-atherton,NH
Charles Humphrey Atherton,charles-humphrey-atherton,NH
Gibson Atherton,gibson-atherton,OH
William Oscar Atkeson,william-oscar-atkeson,MO
John DeWitt Clinton Atkins,john-dewitt-clinton-atkins,TN
Archibald Atkinson,archibald-atkinson,VA
George Wesley Atkinson,george-wesley-atkinson,WV
Louis Evans Atkinson,louis-evans-atkinson,PA
Richard Merrill Atkinson,richard-merrill-atkinson,TN
John Wilbur Atwater,john-wilbur-atwater,NC
David Atwood,david-atwood,WI
Harrison Henry Atwood,harrison-henry-atwood,MA
Oscar Louis Auf Der Heide,oscar-louis-auf-der-heide,NJ
Albert Elmer Austin,albert-elmer-austin,CT
Archibald Austin,archibald-austin,VA
Richard Wilson Austin,richard-wilson-austin,TN
Warren Robinson Austin,warren-robinson-austin,VT
Thomas Hamlet Averett,thomas-hamlet-averett,VA
John Thomas Averill,john-thomas-averill,MN
Daniel Avery,daniel-avery,NY
John Avery,john-avery,MI
William Tecumsah Avery,william-tecumsah-avery,TN
Samuel Brashear Avis,samuel-brashear-avis,WV
Samuel Beach Axtell,samuel-beach-axtell,CA
John Bancker Aycrigg,john-bancker-aycrigg,NJ
Richard Small Ayer,richard-small-ayer,VA
Roy Elmer Ayers,roy-elmer-ayers,MT
Steven Beckwith Ayres,steven-beckwith-ayres,NY
William Augustus Ayres,william-augustus-ayres,KS
Clinton Babbitt,clinton-babbitt,WI
Elijah Babbitt,elijah-babbitt,PA
Alfred Babcock,alfred-babcock,NY
Joseph Weeks Babcock,joseph-weeks-babcock,WI
Leander Babcock,leander-babcock,NY
William Babcock,william-babcock,NY
John Joseph Babka,john-joseph-babka,OH
Isaac Bacharach,isaac-bacharach,NJ
Nathan Lynn Bachman,nathan-lynn-bachman,TN
Reuben Knecht Bachman,reuben-knecht-bachman,PA
Carl George Bachmann,carl-george-bachmann,WV
Augustus Octavius Bacon,augustus-octavius-bacon,GA
Ezekiel Bacon,ezekiel-bacon,MA
Henry Bacon,henry-bacon,NY
John Bacon,john-bacon,MA
Mark Reeves Bacon,mark-reeves-bacon,MI
Robert Low Bacon,robert-low-bacon,NY
William Johnson Bacon,william-johnson-bacon,NY
De Witt Clinton Badger,de-witt-clinton-badger,OH
George Edmund Badger,george-edmund-badger,NC
Luther Badger,luther-badger,NY
George Baer,george-baer,MD
John Miller Baer,john-miller-baer,ND
Arthur Pendleton Bagby,arthur-pendleton-bagby,AL
John Courts Bagby,john-courts-bagby,IL
George Augustus Bagley,george-augustus-bagley,NY
John Holroyd Bagley,john-holroyd-bagley,NY
Alexander Hamilton Bailey,alexander-hamilton-bailey,NY
Cleveland Monroe Bailey,cleveland-monroe-bailey,WV
David Jackson Bailey,david-jackson-bailey,GA
Goldsmith Fox Bailey,goldsmith-fox-bailey,MA
James Edmund Bailey,james-edmund-bailey,TN
Jeremiah Bailey,jeremiah-bailey,ME
John Bailey,john-bailey,MA
John Mosher Bailey,john-mosher-bailey,NY
Joseph Bailey,joseph-bailey,PA
Joseph Weldon Bailey,joseph-weldon-bailey,TX
Joseph Weldon Bailey,joseph-weldon-bailey-1,TX
Josiah William Bailey,josiah-william-bailey,NC
Ralph Emerson Bailey,ralph-emerson-bailey,MO
Theodorus Bailey,theodorus-bailey,NY
Warren Worth Bailey,warren-worth-bailey,PA
Willis Joshua Bailey,willis-joshua-bailey,KS
