"state","dem2012","rep2012","dem2008","rep2008","dem2004","rep2004","dem2000","rep2000","dem1996","rep1996","dem1992","rep1992","dem1988","rep1988","dem1984","rep1984","dem1980","rep1980","dem1976","rep1976","dem1972","rep1972","dem1968","rep1968","dem1964","rep1964","dem1960","rep1960","X.3","dem1956","rep1956","dem1952","rep1952","diff2012","diff2008","diff2004","diff2000","diff1996","diff1992","diff1988","diff1984","diff1980","diff1976","diff1972","diff1968","diff1964","diff1960","diff1956","diff1952","pvi2012","pvi2008","pvi2004","pvi2000","pvi1996","pvi1992","pvi1988","pvi1984","pvi1980","pvi1976","pvi1972","pvi1968","pvi1964","pvi1960","pvi1956","pvi1952","postal"
"South Carolina",44.09,54.56,44.9,53.87,40.9,57.98,40.91,56.83,43.85,49.89,39.88,48.02,37.58,61.5,35.57,63.55,48.04,49.57,56.17,43.13,27.92,70.58,29.61,38.09,41.1,58.89,51.24,48.76,"0.00%",45.37,25.18,50.72,49.28,-10.47,-8.97,-17.08,-15.92,-6.04,-8.14,-23.92,-27.98,-1.53,13.04,-42.66,-8.48,-17.79,2.48,20.19,1.44,-7.27081630920335,-8.23233212404111,-7.39430714916152,-8.40899072280288,-7.9520827598672,-8.0853946463127,-8.17285131062776,-4.94779002366704,4.52359227740022,5.51601270052446,-9.86645284729751,-5.85660936697808,-20.2403429651647,1.15437493704039,22.060158349144,6.17171339563862,"SC"
"South Dakota",39.87,57.89,44.75,53.16,38.44,59.91,37.56,60.3,43.03,46.49,37.14,40.66,46.51,52.85,36.53,63,31.69,60.53,48.91,50.39,45.52,54.15,41.96,53.27,55.61,44.39,41.79,58.21,"0.00%",41.61,58.39,30.73,69.27,-18.02,-8.41,-21.47,-22.74,-3.46,-3.52,-6.34,-26.47,-28.84,-1.48,-8.63,-11.31,11.22,-16.42,-16.78,-38.54,-11.1806251193017,-7.98624013280009,-9.67267489331546,-11.8835739367928,-6.66293482477854,-5.71734378224948,0.707783703807779,-4.13108326136769,-10.3291979094758,-1.79516554720967,7.45908284179629,-5.53193945098057,-5.73445337620578,-8.2956250629596,-0.638842359573183,-13.8182866043614,"SD"
"Tennessee",39.08,59.48,41.79,56.85,42.53,56.8,47.28,51.15,48,45.59,47.08,42.43,41.55,57.89,41.57,57.84,48.41,48.7,55.94,42.94,29.75,67.7,28.13,37.85,55.5,44.49,45.77,52.92,"0.00%",48.6,49.21,49.71,49.99,-20.4,-15.06,-14.27,-3.87,2.41,4.65,-16.34,-16.27,-0.290000000000006,13,-37.95,-9.72,11.01,-7.15,-0.609999999999999,-0.280000000000001,-12.3132026481558,-11.3252995898068,-5.94070270814457,-2.23079913076866,-3.44287506189552,-0.857657842892134,-4.31780727070586,0.983133620344329,5.15800824292856,5.52367556386885,-7.68315437066105,-6.95955314431,-5.83890282115028,-3.70807921231617,7.43932858409311,5.31129213184725,"TN"
"Texas",41.38,57.17,43.63,55.39,38.22,61.09,37.98,59.3,43.83,48.76,37.08,40.56,43.35,55.95,36.11,63.61,41.42,55.28,51.14,47.97,33.24,66.2,41.14,39.87,63.32,36.49,50.52,48.52,"0.00%",43.98,55.26,46.69,53.13,-15.79,-11.76,-22.87,-21.32,-4.93,-3.48,-12.6,-27.5,-13.86,3.17,-32.96,1.27,26.83,2,-11.28,-6.44,-9.97533852090814,-9.62967394264954,-10.2720254605261,-11.2229942754614,-7.39268032467667,-5.69624581377327,-2.44620849277604,-4.62219312231906,-1.85917085982136,0.549284143659412,-4.78443823552233,1.19016914587763,2.09608364413285,0.924067990352184,2.06796537924181,2.22590694402572,"TX"
"Total",51.06,47.2,52.87,45.6,48.27,50.73,48.38,47.87,49.23,40.72,43.01,37.45,45.65,53.37,40.56,58.77,41.01,50.75,50.08,48.02,37.52,60.67,42.72,43.42,61.05,38.47,49.72,49.55,"0.42%",41.97,57.37,44.33,55.18,3.86,7.27,-2.45999999999999,0.510000000000005,8.51,5.56,-7.72,-18.21,-9.74,2.06,-23.15,-0.700000000000003,22.58,0.170000000000002,-15.4,-10.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Utah",24.75,72.79,34.22,62.25,26,71.54,26.34,66.83,33.3,54.37,24.65,43.36,32.05,66.22,24.68,74.5,20.57,72.77,33.65,62.44,26.39,67.64,37.07,56.49,54.86,45.14,45.17,54.81,"0.00%",35.44,64.56,41.07,58.93,-48.04,-28.03,-45.54,-40.49,-21.07,-18.71,-34.17,-49.82,-52.2,-28.79,-41.25,-19.42,9.72,-9.64,-29.12,-17.86,-26.5899712199572,-18.219312125252,-22.1018447754146,-21.9940324138671,-16.7470591401773,-17.2104630838492,-13.4875715049101,-15.9495358161631,-22.6549649554861,-16.0306962477519,-10.1461195051467,-9.97205152275549,-6.48445337620579,-4.90658925579817,-6.80884235957318,-3.47828660436137,"UT"
"Vermont",66.57,30.97,67.46,30.45,58.94,38.8,50.63,40.7,53.35,31.09,46.11,30.42,47.58,51.1,40.81,57.92,38.41,44.37,43.14,54.34,36.47,62.66,43.53,52.75,66.3,33.69,41.35,58.65,"0.00%",27.81,72.16,28.23,71.45,35.6,37.01,20.14,9.93,22.26,15.69,-3.52,-17.11,-5.96,-11.2,-26.19,-9.22,32.61,-17.3,-44.35,-43.22,16.2847468444266,15.2085305749928,11.5452685231691,5.17139472812307,8.45055111147859,6.79574902172173,2.11465961886561,0.501368895085375,1.70742009418563,-6.79471718917119,-1.42155687159827,-4.38180268852484,4.96217728686053,-8.7356250629596,-14.4304968559221,-16.2276606011511,"VT"
"Virginia",51.16,47.28,52.63,46.33,45.48,53.68,44.44,52.47,45.15,47.1,40.59,44.97,39.23,59.74,37.09,62.29,40.31,53.03,47.96,49.29,30.12,67.84,32.49,43.36,53.54,46.18,46.97,52.44,"0.00%",38.36,55.37,43.36,56.32,3.88,6.3,-8.2,-8.03,-1.95,-4.38,-20.51,-25.2,-12.72,-1.33,-37.72,-10.87,7.36,-5.47,-17.01,-12.96,0.00656692603266951,-0.508375353909152,-2.89230750424781,-4.40795436118933,-5.78731635009513,-6.01474027846194,-6.46352339213063,-3.51219238529866,-1.50647556187137,-1.73375365884976,-7.46438673930357,-6.75914284039457,-7.6541204439956,-2.83685733335494,-1.32277813253808,-1.04908917257968,"VA"
"Washington",56.16,41.29,57.34,40.26,52.82,45.64,50.13,44.56,49.84,37.3,43.41,31.97,50.05,48.46,42.86,55.82,37.32,49.66,46.11,50,38.64,56.92,47.23,45.12,61.97,37.37,48.27,50.68,"0.00%",45.44,53.91,44.69,54.33,14.87,17.08,7.18,5.57,12.54,11.44,1.59,-12.96,-12.34,-3.89,-18.28,2.11,24.6,-2.41,-8.47,-9.64,5.66537694310976,5.05852036153144,4.88857496352925,2.67624140565317,2.46491209828529,4.13308670158529,4.70522705090334,2.59973480201419,-1.78626127963758,-3.07367184920523,2.2236980770958,1.54870837051631,1.037265971489,-1.30341182395,3.48845004103074,0.584009901395038,"WA"
"West Virginia",35.53,62.27,42.51,55.6,43.2,56.06,45.59,51.92,51.51,36.76,48.41,35.39,52.2,47.46,44.6,55.11,49.81,45.3,58.07,41.93,36.39,63.61,49.6,40.78,67.94,32.06,52.73,47.27,"0.00%",45.92,54.08,51.92,48.08,-26.74,-13.09,-12.86,-6.33,14.75,13.02,4.74,-10.51,4.51000000000001,16.14,-27.22,8.82,35.88,5.45999999999999,-8.16,3.84,-15.6349333203466,-10.3625631161976,-5.23551248939119,-3.51075600637697,3.62464123385139,4.31336343471341,6.27628787402518,3.89613115728152,7.67826236532251,7.02005096839959,-1.82163051227213,5.28571339759743,6.59554662379421,2.64437493704039,3.67115764042682,7.37171339563862,"WV"
"Wisconsin",52.83,45.89,56.22,42.31,49.7,49.32,47.83,47.61,48.81,38.48,41.13,36.78,51.41,47.8,45.02,54.19,43.18,47.9,49.5,47.83,43.72,53.4,44.27,47.89,62.09,37.74,48.05,51.77,"0.00%",37.84,61.58,38.71,60.95,6.94,13.91,0.380000000000003,0.219999999999999,10.33,4.35,3.61,-9.16999999999999,-4.72,1.67,-9.68,-3.62,24.35,-3.72000000000001,-23.74,-22.24,1.55081522214242,3.36728418980708,1.43430467062056,-0.149679406930037,1.18665230126511,-0.663450274514132,5.71757543042877,4.54490505193383,2.71619477439954,-0.192042938925996,6.80484395230777,-1.55766039377112,0.851279369461844,-1.94897910022668,-4.18808999586366,-5.70622359011293,"WI"
"Wyoming",27.82,68.64,32.54,64.78,29.07,68.86,27.7,67.76,36.84,49.81,34.1,39.7,38.01,60.53,28.24,70.51,27.97,62.64,39.81,59.3,30.47,69.01,35.51,55.76,56.56,43.44,44.99,55.01,"0.00%",39.92,60.08,37.09,62.71,-40.82,-32.24,-39.79,-40.06,-12.97,-5.6,-22.52,-42.27,-34.67,-19.49,-38.54,-20.25,13.12,-10.02,-20.16,-25.62,-23.1232063237255,-20.2553925032446,-19.0731072596691,-21.2475455824293,-12.2145373447517,-7.24917092571373,-7.52862936009754,-12.2361166652012,-13.8241189931614,-10.8824583646647,-7.58235829675143,-10.6871436672241,-4.78445337620579,-5.0956250629596,-2.32884235957318,-7.38395794704675,"WY"
