"state","dem2012","rep2012","dem2008","rep2008","dem2004","rep2004","dem2000","rep2000","dem1996","rep1996","dem1992","rep1992","dem1988","rep1988","dem1984","rep1984","dem1980","rep1980","dem1976","rep1976","dem1972","rep1972","dem1968","rep1968","dem1964","rep1964","dem1960","rep1960","X.3","dem1956","rep1956","dem1952","rep1952","diff2012","diff2008","diff2004","diff2000","diff1996","diff1992","diff1988","diff1984","diff1980","diff1976","diff1972","diff1968","diff1964","diff1960","diff1956","diff1952","pvi2012","pvi2008","pvi2004","pvi2000","pvi1996","pvi1992","pvi1988","pvi1984","pvi1980","pvi1976","pvi1972","pvi1968","pvi1964","pvi1960","pvi1956","pvi1952","postal"
"Maryland",61.97,35.9,61.92,36.47,55.91,42.93,56.57,40.18,54.25,38.27,49.8,35.62,48.2,51.11,47.02,52.51,47.14,44.18,53.04,46.96,37.36,61.26,43.59,41.94,65.47,34.53,53.61,46.39,"0.00%",39.96,60.04,43.83,55.36,26.07,25.45,12.98,16.39,15.98,14.18,-2.91,-5.48999999999999,2.96,6.08,-23.9,1.65000000000001,30.94,7.22,-20.08,-11.53,11.3545113814541,9.24174528276327,7.80859178592889,8.20534917279103,3.90556481996169,4.84503091070877,2.43309312950532,6.40845255697854,6.9279980035141,1.99005096839959,-0.328848115192437,1.37088913441588,4.12554662379421,3.5243749370404,-2.28884235957318,-0.36036443478783,"MD"
"Massachusetts",60.65,37.51,61.8,35.99,61.94,36.78,59.8,32.5,61.47,28.09,47.54,29.03,53.23,45.38,48.43,51.22,41.75,41.9,56.11,40.44,54.2,45.23,63.01,32.89,76.19,23.44,60.22,39.55,"0.00%",40.37,59.32,45.46,54.22,23.14,25.81,25.16,27.3,33.38,18.51,7.84999999999999,-2.79,-0.149999999999999,15.67,8.97000000000001,30.12,52.75,20.67,-18.95,-8.76,9.82270189147732,9.50516623534267,13.9855360738667,14.5237973294311,13.9051458045398,8.6318462493529,7.87852892224747,7.76651533159777,5.21766415780452,7.06501730708422,16.29908054073,16.1101734862833,15.1284965384785,10.2732002352262,-1.75330619747067,1.05765240045403,"MA"
"Michigan",54.21,44.71,57.33,40.89,51.23,47.81,51.28,46.14,51.69,38.48,43.77,36.38,45.67,53.57,40.24,59.23,42.5,48.99,46.44,51.83,41.81,56.2,48.18,41.46,66.7,33.1,50.85,48.84,"0.02%",44.15,55.63,43.97,55.44,9.5,16.44,3.41999999999999,5.14,13.21,7.39,-7.9,-18.99,-6.49,-5.39,-14.39,6.72,33.6,2.01,-11.48,-11.47,2.83768341483092,4.67748798523333,2.9689993635874,2.37312693465433,2.59464689728494,1.15497306581976,-0.0820475158772871,-0.379176655300573,1.76048773273395,-3.79239331775081,4.44728184360992,4.15464194056623,5.48921395846355,0.92250012512346,1.99850179757254,-0.317323924550489,"MI"
"Minnesota",52.65,44.96,54.06,43.82,51.09,47.61,47.91,45.5,51.1,34.96,43.48,31.85,52.91,45.9,49.72,49.54,46.5,42.56,54.9,42.02,46.07,51.58,54,41.46,63.76,36,50.58,49.16,"0.00%",46.08,53.68,44.11,55.33,7.69,10.24,3.48,2.41,16.14,11.63,7.01,0.18,3.94,12.88,-5.51,12.54,27.76,1.42,-7.6,-11.22,1.97496890521652,1.5394153349683,3.00534217555494,1.02507671110604,4.6467729315367,4.26423512829902,7.44541420402282,9.25708594551053,7.51931536804728,5.59470635428486,8.96706892449182,6.97451140375314,2.56893876493295,0.626225749151887,3.94201569976925,-0.189879524715358,"MN"
"Mississippi",43.79,55.29,43,56.18,39.75,59.44,40.7,57.62,44.08,49.21,40.77,49.68,39.07,59.89,37.46,61.85,48.09,49.42,49.56,47.68,19.63,78.2,23.02,13.52,12.86,87.14,36.34,24.67,"38.99%",58.23,24.46,60.44,39.56,-11.5,-13.18,-19.69,-16.92,-5.13,-8.91,-20.82,-24.39,-1.33,1.88,-58.57,9.5,-74.28,11.67,33.77,20.88,-7.76756787316095,-10.3359644136248,-8.68297146278798,-8.86949161497574,-7.47989661601999,-8.38050611966267,-6.62119939513947,-3.1133151575834,4.62534211723708,-0.0832686531553217,-18.1462109068341,13.4057679552984,-48.4844533762058,9.47838083771242,28.1707972582766,15.8917133956386,"MS"
"Missouri",44.38,53.76,49.24,49.37,46.1,53.3,47.08,50.42,47.54,41.24,44.07,33.92,47.85,51.83,39.98,60.02,44.35,51.16,51.1,47.47,37.71,62.29,43.74,44.87,64.05,35.95,50.26,49.74,"0.00%",50.11,49.89,49.14,50.71,-9.38,-0.129999999999995,-7.2,-3.34,6.3,10.15,-3.98,-20.04,-6.81,3.63,-24.58,-1.13,28.1,0.519999999999996,0.219999999999999,-1.57,-6.7430639779815,-3.75739587414446,-2.37930613986952,-1.97775557775558,-1.18230936287725,3.05211153319369,1.90181394033924,-0.853585019631531,1.74225173224603,0.791382002182694,-0.501630512272133,-0.231310249490307,2.70554662379421,0.174374937040389,7.86115764042682,4.66553412673527,"MO"
"Montana",41.7,55.35,47.11,49.49,38.56,59.07,33.36,58.44,41.23,44.11,37.63,35.12,46.2,52.07,38.18,60.47,32.43,56.82,45.4,52.84,37.85,57.93,41.59,50.6,58.95,40.57,48.6,51.1,"0.00%",42.87,57.13,40.07,59.39,-13.65,-2.38,-20.51,-25.08,-2.88,2.51000000000001,-5.87,-22.29,-24.39,-7.44,-20.08,-9.01,18.38,-2.5,-14.26,-19.32,-8.99663417026587,-4.92336369643958,-9.26151921757781,-13.9250657838893,-6.41777395535082,-1.7300470746814,0.911533003078069,-2.13110149200862,-8.35654209373375,-4.83659398274048,1.30601408994128,-4.48033184109909,-2.11012861736335,-1.33938634681116,0.621157640426817,-4.26073381932217,"MT"
"Nebraska",38.03,59.8,41.6,56.53,32.68,65.9,33.25,62.25,34.95,53.65,29.4,46.58,39.2,60.15,28.81,70.55,26.04,65.53,38.46,59.19,29.5,70.5,31.81,59.82,52.61,47.39,37.93,62.07,"0.00%",34.49,65.51,30.85,69.15,-21.77,-14.93,-33.22,-29,-18.7,-17.18,-20.95,-41.74,-39.49,-20.73,-41,-28.01,5.22,-24.14,-31.02,-38.3,-13.0906205052655,-11.2987353197077,-15.6068352422583,-15.4481811382335,-15.2834531850526,-14.7607397239497,-6.64533058091084,-11.8380133610164,-16.2554154357974,-11.6643883557171,-8.71163051227213,-14.877980235723,-8.73445337620579,-12.1556250629596,-7.75884235957318,-13.6982866043614,"NE"
"Nevada",52.36,45.68,55.15,42.65,47.88,50.47,45.98,49.52,43.93,42.91,37.36,34.73,37.92,58.86,31.97,65.85,26.89,62.54,45.81,50.17,36.32,63.68,39.29,47.46,58.58,41.42,51.16,48.84,"0.00%",42.03,57.97,38.55,61.45,6.68,12.5,-2.59,-3.54000000000001,1.02,2.63,-20.94,-33.88,-35.65,-4.36,-27.36,-8.17,17.16,2.31999999999999,-15.94,-22.9,1.44259607168817,2.6991134085662,-0.0743017362234422,-2.11833820629633,-4.14311881645697,-1.63102423238661,-6.92014851558916,-8.1511069987769,-14.6244667745084,-3.32125555379253,-1.89163051227213,-4.30261841690592,-2.76445337620579,1.07437493704039,-0.218842359573179,-5.99828660436138,"NV"
"New Hampshire",51.98,46.4,54.13,44.52,50.24,48.87,46.8,48.07,49.32,39.37,38.91,37.69,36.33,62.49,30.95,68.66,28.35,57.74,43.47,54.75,34.86,63.98,43.93,52.1,63.64,36.36,46.58,53.42,"0.00%",33.84,66.11,39.08,60.92,5.58,9.61,1.37,-1.27,9.95,1.22,-26.16,-37.71,-29.39,-11.28,-29.12,-8.17,27.28,-6.84,-32.27,-21.84,0.871765590558082,1.17927555666575,1.93357548851444,-0.934272052391594,0.8790203098889,-2.65878833781473,-9.33798462332191,-9.76240742702035,-11.7620225807363,-6.79216039384842,-2.94250869924097,-3.84756369547371,2.29554662379421,-3.50562506295961,-8.39191389534106,-5.46828660436138,"NH"
